"source;target";w
"disconfirm;set_question";2
"initial_goodbye;inform";2
"initial_goodbye;closing_politeness_statement";2
"closing_greeting;initial_goodbye";2
"opening;closing_greeting";2
"inform;dialog_act_invitation";2
"pausing;answer";2
"farewell_wish;self_error";2
"threat;self_error";1
"agreement;thanking_downplay";1
"stalling;suggestion";1
"stalling;choice_question";1
"closing_politeness_statement;agreement";1
"thanking_downplay;answer";1
"set_question;thanking_downplay";1
"suggestion;opening";1
"pausing;closing_greeting";1
"pausing;suggestion";1
"suggestion;threat";1
"suggestion;closing_greeting";1
"stalling;closing_politeness_statement";1
"closing_greeting;set_question";1
"dialog_act_invitation;closing_greeting";1
"thanking_downplay;opening";1
"self_error;disconfirm";1
"dialog_act_invitation;greeting";1
"dialog_act_invitation;stalling";1
"stalling;promise";1
"farewell_wish;request";1
"stalling;apology_downplay";1
"stalling;disconfirm";1
"request;farewell_wish";1
"choice_question;closing_greeting";1
"pausing;greeting";1
"thanking_downplay;set_question";1
"promise;stalling";1
"closing_greeting;agreement";1
"closing_greeting;apology_downplay";1
"self_error;greeting";1
"stalling;set_question";1
"answer;disconfirm";1
"apology_downplay;opening";1
"preclosing;apology_downplay";1
"agreement;closing_politeness_statement";1
"disconfirm;opening";1
"self_error;farewell_wish";1
"set_question;stalling";1
"apology_downplay;pausing";1
"stalling;self_error";1
"stalling;threat";1
"self_error;stalling";1
"disconfirm;answer";1
"agreement;choice_question";1
"suggestion;set_question";1
